"sex"	"day"
"m"	"010101,210,110000,20,020000,5,140000,95,180000,8,120000,52,020000,100,110000,20,050000,90,110000,67,180000,58,070000,5,180000,2,070000,34,180000,14,110000,30,010101,630"
"m"	"010101,45,180000,10,130000,5,110000,30,180000,1,050000,446,020000,18,180000,5,010000,10,180000,5,070000,20,180000,5,020000,65,120000,80,050000,35,180000,30,120000,175,010101,455"
"m"	"030000,15,180000,15,050000,302,180000,58,050000,60,020000,30,010101,400,120000,20,010101,540"
"m"	"010101,150,010000,15,120000,77,180000,13,130000,45,110000,15,050000,45,110000,50,180000,35,110000,5,050000,420,180000,30,120000,120,020000,15,120000,110,180000,25,120000,90,010101,180"
"m"	"010101,240,020000,270,180000,4,070000,31,180000,10,070000,15,180000,25,070000,13,180000,32,010000,80,180000,55,070000,45,180000,5,130000,255,180000,10,120000,30,050000,9,010000,6,010101,305"
"m"	"010101,480,110000,15,050000,245,180000,5,050000,35,180000,130,120000,136,010101,394"
"m"	"010101,120,010000,20,030000,3,010101,307,180000,25,050000,440,110000,15,180000,5,030000,12,020000,43,110000,10,050000,10,010000,1,010101,429"
"m"	"010101,90,010000,30,020000,30,180000,12,110000,18,010000,10,110000,5,120000,30,010000,55,120000,140,020000,20,180000,10,050000,330,180000,15,030000,104,120000,106,010101,435"
"m"	"010101,210,010000,15,180000,5,050000,250,180000,5,070000,25,180000,5,110000,20,180000,30,110000,35,050000,90,120000,90,180000,10,050000,110,020000,20,120000,250,010101,270"
"m"	"010101,165,010000,15,180000,15,120000,320,180000,6,110000,49,050000,60,120000,360,020000,5,010000,5,120000,5,030000,15,010000,34,020000,71,010000,25,050000,20,120000,15,010000,5,120000,250"
"m"	"010101,360,120000,90,050000,210,180000,10,030000,40,180000,25,120000,15,010101,10,120000,220,010000,60,030000,10,120000,40,010000,20,010101,330"
"m"	"010101,90,010000,82,180000,68,050000,60,110000,32,020000,28,180000,20,130000,10,180000,5,020000,35,180000,10,020000,125,180000,20,110000,32,180000,13,120000,50,020000,70,180000,15,120000,75,010101,600"
"m"	"010101,60,020000,43,120000,2,050000,440,180000,15,070000,5,180000,20,110000,15,120000,203,020000,17,180000,15,050000,94,020000,6,110000,10,160000,18,120000,102,010000,20,120000,110,020000,5,010101,240"
"m"	"030000,20,010101,340,110000,15,050000,135,110000,10,060000,135,180000,20,120000,105,180000,30,120000,36,180000,44,120000,310,010101,240"
"m"	"010000,30,180000,5,120000,115,010000,20,020000,90,120000,5,010101,35,020000,5,120000,20,180000,5,080000,110,180000,10,050000,660,120000,60,010101,270"
"m"	"010101,180,010000,30,110000,20,130000,10,020000,10,120000,130,110000,15,180000,15,020000,75,050000,235,120000,145,020000,33,110000,2,030000,5,010000,25,120000,210,010000,15,010101,285"
"m"	"010000,25,020000,30,010000,5,110000,10,020000,7,010000,43,180000,5,050000,355,020000,75,120000,66,010101,99,120000,120,180000,40,120000,65,050000,240,120000,15,010101,120,010000,31,120000,89"
"m"	"010101,360,120000,150,110000,15,180000,5,080000,281,180000,9,010000,65,180000,15,110000,75,130000,30,180000,37,040000,8,180000,28,110000,3,010101,359"
"m"	"010101,300,120000,7,020000,14,180000,46,110000,8,050000,105,120000,70,020000,35,180000,15,030000,21,120000,71,180000,13,120000,195,010000,2,020000,38,120000,190,010000,15,010101,295"
"m"	"010101,70,010000,10,110000,40,050000,345,110000,2,120000,13,020000,30,110000,35,120000,245,180000,45,070000,6,180000,14,120000,225,010000,50,010101,190,010000,62,120000,28,020000,30"
"m"	"010101,840,110000,25,120000,168,010101,407"
"m"	"010101,150,010000,60,180000,5,050000,145,110000,5,120000,34,010000,36,180000,5,020000,12,110000,88,050000,120,120000,540,010101,240"
"m"	"010101,165,010000,15,120000,40,020000,105,110000,5,050000,240,180000,65,120000,60,180000,35,140000,50,180000,51,110000,49,120000,140,010101,420"
"m"	"010101,60,010000,1,180000,9,040000,20,180000,30,050000,300,110000,30,050000,15,110000,15,050000,210,180000,15,010000,5,120000,220,020000,15,110000,122,180000,71,120000,182,010101,120"
"m"	"010101,180,130000,220,050000,350,180000,5,030000,10,020000,40,110000,25,020000,70,110000,39,020000,26,120000,55,030000,30,050000,30,120000,35,010101,325"
"m"	"010101,180,050000,285,110000,15,050000,340,180000,20,020000,40,120000,140,110000,15,120000,15,010000,35,010101,355"
"m"	"010101,180,010000,20,110000,25,other,15,180000,39,050000,201,180000,19,110000,21,060000,110,040000,70,180000,5,120000,292,140000,23,010000,15,120000,45,010000,30,010101,330"
"m"	"010101,240,010000,20,180000,55,050000,135,110000,40,180000,10,050000,445,120000,145,050000,25,180000,3,040000,12,110000,100,160000,30,010101,180"
"m"	"010101,150,030000,15,020000,50,030000,5,020000,45,110000,5,120000,15,010000,30,180000,27,050000,48,180000,70,070000,35,180000,25,070000,22,180000,18,050000,20,120000,335,060000,165,180000,7,040000,43,110000,5,120000,35,010101,270"
"m"	"010101,120,010000,30,180000,10,070000,5,180000,15,050000,10,180000,32,060000,213,110000,15,050000,30,180000,16,110000,44,020000,11,110000,59,120000,37,060000,13,120000,50,010000,25,180000,10,020000,75,030000,50,110000,45,120000,165,010101,360"
"m"	"010101,300,020000,60,110000,8,120000,322,020000,150,180000,20,070000,15,180000,20,150000,155,180000,15,070000,15,180000,27,110000,13,050000,9,010000,11,010101,300"
"m"	"010101,180,180000,35,050000,235,110000,5,180000,5,110000,80,050000,105,120000,30,010101,765"
"m"	"010101,30,010000,25,110000,25,180000,5,050000,335,180000,10,070000,5,180000,17,050000,28,110000,60,180000,3,110000,87,120000,60,030000,77,180000,3,other,75,180000,65,040000,12,180000,33,150000,82,180000,13,030000,30,010000,10,010101,350"
"m"	"010101,180,010000,25,020000,15,030000,20,180000,11,050000,229,110000,35,180000,10,110000,10,050000,125,010000,41,020000,49,180000,20,other,10,020000,20,120000,45,020000,37,110000,18,010000,27,110000,28,030000,50,other,75,010101,360"
"m"	"010101,210,010000,10,020000,10,180000,65,050000,215,110000,30,050000,240,180000,20,020000,10,010000,20,030000,151,050000,69,120000,90,010000,5,120000,17,010101,278"
"m"	"010101,210,130000,15,050000,180,110000,35,060000,40,120000,60,010000,165,180000,5,020000,10,010000,45,120000,5,180000,5,120000,335,010000,25,010101,305"
"m"	"010101,120,010000,25,180000,5,050000,105,180000,50,020000,137,180000,18,120000,20,010000,30,050000,270,180000,100,110000,15,180000,5,120000,240,010101,300"
"m"	"010101,240,020000,4,180000,31,050000,70,180000,15,050000,210,110000,5,010000,35,010101,230,110000,60,120000,120,070000,1,180000,9,120000,20,010101,390"
"m"	"010101,60,120000,85,010000,18,110000,2,180000,5,130000,40,020000,20,110000,10,180000,35,020000,25,110000,10,050000,170,110000,5,020000,49,120000,19,050000,227,020000,30,180000,45,020000,17,110000,9,040000,5,180000,9,110000,5,120000,120,010000,30,010101,390"
"m"	"020000,7,120000,83,110000,20,180000,70,050000,120,110000,15,120000,65,020000,65,120000,7,180000,1,020000,57,010000,45,120000,270,180000,15,120000,195,010000,5,120000,75,050000,45,010101,280"
