sex	name	num
"m"	"10101, 10000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 10000, 120000, 10101"	"300, 15, 15, 390, 15, 30, 315, 15, 30, 30, 135, 150"
"m"	"10101, 10000, 110000, 30000, 180000, 60000, 110000, 10101, 60000, 180000, 10000, 120000, 110000, 120000, 20000, 120000, 10101"	"375, 45, 15, 15, 45, 225, 15, 60, 225, 15, 15, 45, 15, 90, 120, 90, 30"
"m"	"10101, 10000, 120000, 110000, 30000, 120000, 110000, 120000, 10101, 120000, 30000, 120000, 10000, 120000, 110000, 120000, 10101"	"345, 15, 150, 30, 30, 120, 30, 60, 90, 90, 30, 30, 30, 90, 30, 150, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 10000, 110000, 30000, 120000, 60000, 10101"	"420, 15, 15, 30, 240, 30, 60, 240, 30, 30, 30, 30, 90, 60, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 120000, 10000, 110000, 120000, 10101"	"420, 30, 15, 15, 240, 30, 30, 240, 15, 90, 30, 30, 195, 60"
"m"	"10101, 10000, 110000, 50000, 110000, 10101, 50000, 110000, 10000, 120000, 10101"	"390, 30, 30, 330, 45, 45, 165, 45, 180, 60, 120"
"m"	"10101, 10000, 50000, 110000, 50000, 110000, 50000, 120000, 110000, 120000, 30000, 10000, 10101"	"300, 30, 150, 15, 210, 15, 180, 165, 30, 135, 90, 30, 90"
"m"	"120000, 10101, 10000, 110000, 120000, 110000, 120000"	"120, 480, 30, 30, 420, 30, 330"
"m"	"50000, 180000, 10000, 10101, 10000, 110000, 120000, 10101, 180000, 50000"	"480, 15, 15, 210, 15, 15, 150, 450, 30, 60"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 50000, 180000, 10000, 10101, 120000, 110000, 120000, 10101"	"300, 30, 15, 30, 345, 15, 165, 30, 30, 90, 90, 30, 150, 120"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 120000, 110000, 120000, 10000, 120000, 10101"	"390, 15, 15, 60, 240, 15, 75, 240, 60, 30, 15, 105, 15, 90, 75"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 10101"	"420, 15, 15, 30, 255, 30, 30, 255, 30, 30, 165, 30, 135"
"m"	"10101, 10000, 110000, 120000, 50000, 110000, 120000, 50000, 120000, 110000, 10000, 10101"	"360, 30, 30, 60, 240, 30, 30, 240, 60, 45, 195, 120"
"m"	"10101, 10000, 180000, 50000, 20000, 50000, 110000, 120000, 50000, 110000, 10000, 120000, 10000, 10101"	"360, 45, 30, 105, 45, 135, 30, 30, 315, 45, 30, 120, 15, 135"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 120000, 50000, 180000, 10000, 110000, 120000, 10101"	"360, 30, 30, 45, 255, 30, 15, 255, 45, 30, 30, 270, 45"
"m"	"10101, 10000, 110000, 180000, 50000, 110000, 10101, 50000, 180000, 110000, 120000, 10000, 120000"	"405, 15, 30, 15, 255, 30, 30, 315, 15, 15, 75, 30, 210"
"m"	"10101, 10000, 110000, 120000, 110000, 120000, 20000, 30000, 110000, 120000, 10000, 10101"	"420, 30, 30, 240, 30, 210, 120, 45, 30, 195, 30, 60"
"m"	"10101, 10000, 110000, 50000, 120000, 110000, 120000, 10101, 50000, 10000, 120000, 110000, 120000, 10101"	"315, 30, 30, 315, 30, 15, 30, 30, 225, 30, 60, 30, 150, 150"
"m"	"10101, 10000, 120000, 110000, 120000"	"660, 15, 75, 120, 570"
