"sex"	"day"
"m"	"10101,300, 10000, 15, 180000, 15, 50000, 390, 110000, 15, 10101, 30, 50000, 315, 180000, 15, 110000, 30, 10000, 30, 120000, 135, 10101, 150"
"m"	"10101,375, 10000, 45, 110000, 15, 30000, 15, 180000, 45, 60000, 225, 110000, 15, 10101, 60, 60000, 225, 180000, 15, 10000, 15, 120000, 45, 110000, 15, 120000, 90, 20000, 120, 120000, 90, 10101, 30"
"m"	"10101,345, 10000, 15, 120000, 150, 110000, 30, 30000, 30, 120000, 120, 110000, 30, 120000, 60, 10101, 90, 120000, 90, 30000, 30, 120000, 30, 10000, 30, 120000, 90, 110000, 30, 120000, 150, 10101, 120"
"m"	"10101,420, 10000, 15, 110000, 15, 180000, 30, 50000, 240, 110000, 30, 10101, 60, 50000, 240, 180000, 30, 10000, 30, 110000, 30, 30000, 30, 120000, 90, 60000, 60, 10101, 120"
"m"	"10101,420, 10000, 30, 110000, 15, 180000, 15, 50000, 240, 110000, 30, 10101, 30, 50000, 240, 180000, 15, 120000, 90, 10000, 30, 110000, 30, 120000, 195, 10101, 60"
"m"	"10101,390, 10000, 30, 110000, 30, 50000, 330, 110000, 45, 10101, 45, 50000, 165, 110000, 45, 10000, 180, 120000, 60, 10101, 120"
"m"	"10101,300, 10000, 30, 50000, 150, 110000, 15, 50000, 210, 110000, 15, 50000, 180, 120000, 165, 110000, 30, 120000, 135, 30000, 90, 10000, 30, 10101, 90"
"m"	"120000,120, 10101, 480, 10000, 30, 110000, 30, 120000, 420, 110000, 30, 120000, 330"
"m"	"50000,480, 180000, 15, 10000, 15, 10101, 210, 10000, 15, 110000, 15, 120000, 150, 10101, 450, 180000, 30, 50000, 60"
"m"	"10101,300, 10000, 30, 110000, 15, 180000, 30, 50000, 345, 110000, 15, 50000, 165, 180000, 30, 10000, 30, 10101, 90, 120000, 90, 110000, 30, 120000, 150, 10101, 120"
"m"	"10101,390, 10000, 15, 110000, 15, 180000, 60, 50000, 240, 110000, 15, 120000, 75, 50000, 240, 180000, 60, 120000, 30, 110000, 15, 120000, 105, 10000, 15, 120000, 90, 10101, 75"
"m"	"10101,420, 10000, 15, 110000, 15, 180000, 30, 50000, 255, 110000, 30, 10101, 30, 50000, 255, 180000, 30, 110000, 30, 120000, 165, 10000, 30, 10101, 135"
"m"	"10101,360, 10000, 30, 110000, 30, 120000, 60, 50000, 240, 110000, 30, 120000, 30, 50000, 240, 120000, 60, 110000, 45, 10000, 195, 10101, 120"
"m"	"10101,360, 10000, 45, 180000, 30, 50000, 105, 20000, 45, 50000, 135, 110000, 30, 120000, 30, 50000, 315, 110000, 45, 10000, 30, 120000, 120, 10000, 15, 10101, 135"
"m"	"10101,360, 10000, 30, 110000, 30, 180000, 45, 50000, 255, 110000, 30, 120000, 15, 50000, 255, 180000, 45, 10000, 30, 110000, 30, 120000, 270, 10101, 45"
"m"	"10101,405, 10000, 15, 110000, 30, 180000, 15, 50000, 255, 110000, 30, 10101, 30, 50000, 315, 180000, 15, 110000, 15, 120000, 75, 10000, 30, 120000, 210"
"m"	"10101,420, 10000, 30, 110000, 30, 120000, 240, 110000, 30, 120000, 210, 20000, 120, 30000, 45, 110000, 30, 120000, 195, 10000, 30, 10101, 60"
"m"	"10101,315, 10000, 30, 110000, 30, 50000, 315, 120000, 30, 110000, 15, 120000, 30, 10101, 30, 50000, 225, 10000, 30, 120000, 60, 110000, 30, 120000, 150, 10101, 150"
"m"	"10101,660, 10000, 15, 120000, 75, 110000, 120, 120000, 570"
